modelo,accuracy,f1_macro,f1_weighted,precision_macro,recall_macro
TF-IDF + SGD LogLoss,0.9725609756097561,0.9723070524520763,0.972742943544265,0.9730430633791978,0.9724369976814492
TF-IDF + Linear SVM,0.9695121951219512,0.9693939771954366,0.9697451288621761,0.9704810495626822,0.9704830246028558
TF-IDF + Regresión Logística,0.9603658536585366,0.9599717749333101,0.9601560244943846,0.9614066458942707,0.9616177763759056
TF-IDF + Naive Bayes,0.823170731707317,0.825631442033521,0.8241558520965091,0.8334271382971793,0.8238475438348764
